,Parameter,Parameter,Parameter,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output
60,0.00132,0.000518182,0.0000109,0.11990584,1.170740259,1.81829911,0.745481432,1.953554015,3.007475231,0.236519485,0.810527641,2.862213526,1.452462785,0.75281484,1.485485041,0.108082076,0.935770681,1.500658469,0.814516912,0.469085526,1.86348496
61,0.00132,0.000518182,0.0003739,0.11990584,1.170740259,1.81829911,0.745481432,1.953554015,3.007475231,0.208918387,0.809540674,3.602974789,1.70274477,0.76124019,1.512556793,0.11767807,0.81072499,3.526917958,1.28833797,0.485391459,1.271446068
62,0.00132,0.000518182,0.0007369,0.11990584,1.170740259,1.81829911,0.745481432,1.953554015,3.007475231,0.208918387,0.809540674,4.339280583,2.28019783,0.81402826,1.537507253,0.124699119,1.039503189,2.031107691,0.942447594,1.304556405,2.140790266
63,0.00132,0.000518182,0.0010999,0.11990584,1.170740259,1.81829911,0.745481432,1.953554015,3.007475231,0.208918387,0.80855474,5.304906588,2.976505919,0.898641644,1.576416045,0.100535817,1.002349579,1.807695366,0.851627003,0.946101465,1.862631455
64,0.00132,0.000618182,0.0000109,0.11990584,1.170740259,1.81829911,0.745481432,1.953554015,3.007475231,0.209026398,0.839602487,2.63343967,1.004589718,0.231503773,1.077928723,0.113900919,0.934655828,1.535934959,0.862920808,0.568911104,1.805490283
65,0.00132,0.000618182,0.0003739,0.11990584,1.170740259,1.81829911,0.745481432,1.953554015,3.007475231,0.209026393,0.839602487,2.63355348,1.004589718,0.231473246,1.077863218,0.091427483,0.902805236,1.552478095,0.853797348,0.396927084,1.623057356
66,0.00132,0.000618182,0.0007369,0.11990584,1.170740259,1.81829911,0.745481432,1.953554015,3.007475231,0.209026393,0.839602487,2.63355348,1.004589718,0.231473246,1.077863218,0.091427483,0.902805236,1.552478095,0.853797348,0.396927084,1.623057356
67,0.00132,0.000618182,0.0010999,0.11990584,1.170740259,1.81829911,0.745481432,1.953554015,3.007475231,0.209026393,0.839602487,2.63355348,1.004589718,0.231473246,1.077863218,0.091427483,0.902805236,1.552478095,0.853797348,0.396927084,1.623057356
68,0.00132,0.000718182,0.0000109,0.11990584,1.170740259,1.81829911,0.745481432,1.953554015,3.007475231,0.195719938,0.839602487,3.005217789,1.080410588,0.210424356,1.155927548,0.080051131,0.901723405,1.697208318,0.88578075,0.452708219,1.633577685
69,0.00132,0.000718182,0.0003739,0.11990584,1.170740259,1.81829911,0.745481432,1.953554015,3.007475231,0.195719938,0.839602487,3.005186163,1.080410588,0.210434106,1.155930207,0.088924495,0.901723405,1.712493559,0.880695281,0.454923148,1.631193727
70,0.00132,0.000718182,0.0007369,0.11990584,1.170740259,1.81829911,0.745481432,1.953554015,3.007475231,0.195719938,0.839602487,3.005186163,1.080410588,0.210434106,1.155930207,0.088924495,0.901723405,1.712493559,0.880695281,0.454923148,1.631193727
71,0.00132,0.000718182,0.0010999,0.11990584,1.170740259,1.81829911,0.745481432,1.953554015,3.007475231,0.195719938,0.839602487,3.005186163,1.080410588,0.210434106,1.155930207,0.088924495,0.901723405,1.712493559,0.880695281,0.454923148,1.631193727
72,0.00132,0.000818182,0.0000109,0.11990584,1.170740259,1.81829911,0.745481432,1.953554015,3.007475231,0.208011503,0.839602487,2.926110606,1.032315736,0.152937497,0.94444658,0.092365601,0.933542084,1.450639253,1.018013609,0.548312069,1.763186906
73,0.00132,0.000818182,0.0003739,0.11990584,1.170740259,1.81829911,0.745481432,1.953554015,3.007475231,0.20801155,0.839602487,2.926072408,1.03228269,0.15293232,0.944444971,0.10824739,0.933542084,1.445560326,0.998217747,0.559318804,1.770812687
74,0.00132,0.000818182,0.0007369,0.11990584,1.170740259,1.81829911,0.745481432,1.953554015,3.007475231,0.20801155,0.839602487,2.926072408,1.03228269,0.15293232,0.944444971,0.10824739,0.933542084,1.445560326,0.998217747,0.559318804,1.770812687
75,0.00132,0.000818182,0.0010999,0.11990584,1.170740259,1.81829911,0.745481432,1.953554015,3.007475231,0.20801155,0.839602487,2.926072408,1.03228269,0.15293232,0.944444971,0.10824739,0.933542084,1.445560326,0.998217747,0.559318804,1.770812687
76,0.00132,0.000918182,0.0000109,0.11990584,1.170740259,1.81829911,0.745481432,1.953554015,3.007475231,0.194169558,0.810527641,3.332465432,1.16686915,0.125486876,0.804773127,0.093204596,0.934655828,1.634434689,0.787366258,0.522693722,1.857327341
77,0.00132,0.000918182,0.0003739,0.11990584,1.170740259,1.81829911,0.745481432,1.953554015,3.007475231,0.194174713,0.810527641,3.320118841,1.16686915,0.125027542,0.798916507,0.080238022,0.90388816,1.607079794,0.761872539,0.373232723,1.613496355
78,0.00132,0.000918182,0.0007369,0.11990584,1.170740259,1.81829911,0.745481432,1.953554015,3.007475231,0.194174713,0.810527641,3.320118841,1.16686915,0.125027542,0.798916507,0.080238022,0.90388816,1.607079794,0.761872539,0.373232723,1.613496355
79,0.00132,0.000918182,0.0010999,0.11990584,1.170740259,1.81829911,0.745481432,1.953554015,3.007475231,0.194174713,0.810527641,3.320118841,1.16686915,0.125027542,0.798916507,0.080238022,0.90388816,1.607079794,0.761872539,0.373232723,1.613496355
80,0.00253,1.81818E-05,0.0000109,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.208918387,0.820454333,6.747081371,2.711540523,0.765654528,1.966609436,0.10900587,0.81072499,1.677446383,0.977515292,0.524856217,1.114286405
81,0.00253,1.81818E-05,0.0003739,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.236923147,1.094149914,4.715632104,1.943296091,0.584494032,1.760928385,0.084281316,0.839805888,0.796498699,0.497946308,0.07856218,0.865433463
82,0.00253,1.81818E-05,0.0007369,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.208918387,0.950364984,4.07996673,2.045398221,1.089244349,2.156613956,0.112738529,3.537007695,2.892918541,1.229395712,3.177501285,3.197511719
83,0.00253,1.81818E-05,0.0010999,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.208918387,0.885626561,6.573901798,4.541931044,0.973179315,1.909913232,0.112412991,3.897424898,2.979215626,1.295192187,3.297905046,3.207218551
84,0.00253,0.000118182,0.0000109,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.209137839,0.792144857,4.721781227,1.759550288,0.181178657,0.905896109,0.10935857,0.902805236,2.580495413,0.958633532,0.385561025,1.545773964
85,0.00253,0.000118182,0.0003739,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.210939229,0.853128945,2.645989837,1.115662362,0.935586061,1.59253198,0.067467176,0.839805888,1.092360474,0.375146545,0.097569507,0.826323167
86,0.00253,0.000118182,0.0007369,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.208918387,0.822651985,6.599329237,4.595967794,1.324233395,1.687684518,0.067495889,0.901723405,0.83759334,0.554680399,0.330103555,1.192958674
87,0.00253,0.000118182,0.0010999,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.208918387,0.794083206,7.544595711,4.733115256,1.145789825,1.800077938,0.106060532,0.935770681,1.672677221,0.710898155,0.183393824,0.616752767
88,0.00253,0.000218182,0.0000109,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.208918387,0.79311352,2.798963175,1.180908049,0.359693378,1.238426806,0.097487655,0.870822561,3.743159258,1.460364376,0.280777292,1.39413772
89,0.00253,0.000218182,0.0003739,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.208918387,0.822651985,4.023052198,2.842668358,0.900781549,1.441596948,0.086863251,0.869773204,0.871661644,0.420593371,0.207497726,0.965134466
90,0.00253,0.000218182,0.0007369,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.208918387,0.821652349,6.652942853,4.610460973,1.191996665,1.574810822,0.075317393,0.901723405,0.931342809,0.605894674,0.334046378,1.215884372
91,0.00253,0.000218182,0.0010999,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.208918387,0.79311352,7.477599016,4.797448456,0.980710456,1.555216823,0.099826011,0.938003718,1.991881255,0.833247751,0.149730104,0.633737786
92,0.00253,0.000318182,0.0000109,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.208918387,0.791177214,4.763641669,2.639510152,0.661876023,1.349736219,0.084271378,0.870822561,1.378960211,0.820615635,0.306846494,1.54576612
93,0.00253,0.000318182,0.0003739,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.208918387,0.792144857,7.13914872,4.560887961,0.801597876,1.320817858,0.10585403,0.901723405,0.823765568,0.54405452,0.311764431,1.179389079
94,0.00253,0.000318182,0.0007369,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.208918387,0.809540674,7.599154604,4.641935808,0.709573667,1.350251519,0.069267317,0.902805236,1.037761538,0.645549237,0.336537045,1.237027854
95,0.00253,0.000318182,0.0010999,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.208918387,0.809540674,7.783529868,4.786643225,0.730126177,1.35705524,0.059536701,0.902805236,1.044443957,0.634226885,0.288469042,1.22549955
96,0.00253,0.000418182,0.0000109,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.208918387,0.967210159,10.65193282,5.73689745,1.552718622,1.989958313,0.061681792,0.901723405,0.628808473,0.436257297,0.217948741,1.118208759
97,0.00253,0.000418182,0.0003739,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.208918387,0.968357206,10.5257721,5.790386994,1.566321536,1.99236026,0.091867178,0.871872993,1.381237541,0.594337717,0.012427564,0.336397647
98,0.00253,0.000418182,0.0007369,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.210020447,2.705234994,3.840771298,1.518400848,0.373435915,1.54331374,0.125455229,3.03610616,4.23540334,1.930231281,1.622594801,2.17588004
99,0.00253,0.000418182,0.0010999,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.209726232,2.839197005,4.321481297,1.68142864,0.170273371,0.996882066,0.125455229,2.323172337,4.235181228,1.930154194,0.915152645,1.608649288
100,0.00253,0.000518182,0.0000109,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.182768553,2.634578405,2.356278935,0.982219456,0.462129952,1.297936845,0.125455229,5.942962603,4.235105152,1.930126176,0.644982687,1.595147296
101,0.00253,0.000518182,0.0003739,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.208918387,0.968357206,10.94046241,4.769757025,1.11875433,1.882939022,0.087748,0.871872993,1.093880043,0.515019871,0.039441266,0.336972167
102,0.00253,0.000518182,0.0007369,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.209971698,2.705234994,3.784455169,1.505259445,0.338930757,1.54331374,0.125455229,2.652185851,4.23883727,1.929015117,1.43063331,2.827210022
103,0.00253,0.000518182,0.0010999,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.208918387,0.968357206,10.98800807,4.775369907,1.121700839,1.882236754,0.105923842,0.935770681,1.980704693,0.850464607,0.200405032,0.682156288
104,0.00253,0.000618182,0.0000109,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.196533123,2.700801656,2.659172078,1.057884037,0.299375652,0.931238638,0.125455229,5.025461932,4.235112725,1.930180439,1.445781465,2.459735774
105,0.00253,0.000618182,0.0003739,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.208918387,0.968357206,11.79915605,4.89874989,0.9090497,1.879122324,0.087042215,0.90388816,1.69688097,0.755953388,0.101905096,0.455258608
106,0.00253,0.000618182,0.0007369,0.119774221,1.169403264,1.781357364,0.730810623,1.753807166,2.419695098,0.208918387,0.968357206,11.90291561,4.92899989,0.911897459,1.879122324,0.082333155,0.90388816,1.77944876,0.79553615,0.10679938,0.460036288
