,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output
11,2.2,1267.806139,4.4,0,0,8.59E-06,3226.166642,0.000193627,295140.3204,0.864260155,0.265823196,2.170283578,0.537443566,1.829332409,0.837504378,189355.1335,0.000733465,1.10E-06,0.00664284,9.76E-07,0.000587236,1.15E-07,0.273288131,0.204197749,0.361538819,0.031169276,0.125706508,1.354772228,2.189532876,0.822663416,1.686715035,2.501023382,0.221035453,3.518183791,6.20510786,2.568383771,0.885097979,2.153522631,0.129834988,2.256190118,4.063709433,1.87373428,4.408061194,3.273881401
12,0,1263.471754,5.5,0,0,3.89E-06,3493.546585,0.000625878,315364.4486,0.232898433,0.654737187,0.825325427,0.002183834,1.74519559,4.825940165,32604.09032,0.000443918,1.06E-06,0.009971783,3.42E-07,0.000308191,3.92E-07,0.380511551,0.31907347,0.345204168,0.035894739,0.125280128,0.844930116,2.260479305,0.89758111,1.619792182,2.887679268,0.221056292,2.027822533,6.126588007,2.491655029,1.411009156,1.916306525,0.124563793,2.972503688,4.654053564,2.052522748,1.805201961,2.507392874
13,1.1,1278.63423,5.5,0,1.1,2.89E-06,3212.634758,0.000378366,311430.0442,0.021106563,0.911152225,1.301637263,1.843671179,1.392544327,1.730795502,190139.5229,0.001083087,3.58E-07,0.00973557,8.32E-08,2.99E-05,3.33E-07,0.18756772,0.265546613,0.254439431,0.090223166,0.119789376,0.851608344,2.234373848,0.523338748,0.585499291,1.402514392,0.22027613,0.873477027,1.99551271,1.054505535,0.361547593,1.41113759,0.123693178,0.860922965,4.154608897,1.896371867,0.621503387,1.237337692
14,0,1178.215263,1.1,0,1.1,1.07E-05,3643.491832,0.000771555,306445.1053,0.001279887,0.916773549,0.788382667,0.709905933,1.662868229,3.767241607,108316.0036,0.000667922,1.01E-06,0.003021204,7.20E-07,4.44E-05,9.55E-07,0.208464101,0.31816828,0.416220052,0.01393877,0.111170349,0.936035617,1.281585585,0.586639423,0.270542486,1.15831594,0.21773234,0.903414436,3.672949541,2.0517182,1.392872846,2.226418782,0.120351219,0.963504319,4.260351802,1.880407665,0.464100069,1.604535968
15,2.2,1425.080445,5.5,1.1,1.1,2.67E-06,3733.846232,0.000849411,281470.8584,0.305913635,1.080565241,2.114856129,2.046747667,1.316320406,2.769054559,196420.7283,0.00055253,8.27E-07,0.006505585,4.68E-07,6.24E-05,2.12E-07,0.369768213,0.544432494,0.15964929,0.036900581,0.125551959,0.885338363,2.558806849,1.038596633,3.057630816,3.087312684,0.237535506,0.935849678,3.431398928,1.594583883,0.90296904,1.989880397,0.120361782,1.014298432,4.503376702,1.979281995,0.810391376,2.851569355
16,1.1,995.7618229,0,0,1.1,9.02E-06,3852.360336,0.000624547,299548.3593,0.244634701,1.093361474,0.770705588,0.564649047,0.27054418,0.916616281,23858.08369,0.000623656,7.33E-07,0.004346617,6.94E-07,0.000829654,6.74E-07,0.501240445,0.536161864,0.268813614,0.104662366,0.120250919,2.952459439,1.977487189,0.802664402,1.499519457,2.29378553,0.208918386,2.008676375,5.661638259,2.148662555,0.409664503,1.507629601,0.120261625,6.524309741,4.895489558,2.135347614,2.379771933,2.613434041
17,1.1,1530.134152,3.3,0,0,5.88E-06,3644.989174,0.000455669,281243.7327,0.562780603,0.545271201,1.030584561,1.120468532,0.073603401,1.363792143,181896.4439,0.00098849,6.97E-07,0.006646898,8.29E-07,0.00020304,5.40E-07,0.253801822,0.273429237,0.19633558,0.09068744,0.125442935,0.90947919,2.638209162,1.055469162,2.357883959,2.803265498,0.218422016,0.936499547,4.322634613,2.134246237,1.363427922,2.180645039,0.120189961,1.077952834,4.700359736,1.913034945,1.391931802,2.012321109
18,1.1,1408.72764,0,0,0,4.23E-06,3731.700491,5.29E-05,292551.2705,0.696859526,0.009924735,2.197003259,1.53677167,0.144631937,3.721004466,125224.6996,0.000401907,8.63E-08,0.00281857,7.27E-07,0.000340269,4.02E-07,0.258548575,0.520945263,0.212848184,0.088206683,0.120247261,6.340981022,1.766233686,0.714143477,0.693386315,1.575073206,0.208918386,6.104120994,6.16759941,2.489979495,1.301510771,1.922390622,0.120885387,6.526126944,4.237365891,1.929750298,1.062829553,2.762069566
19,1.1,1413.200008,0,1.1,0,3.73E-08,3562.996509,0.000699917,284715.3979,1.054976876,0.495784804,1.906134836,1.915333162,0.366564029,0.778691428,39000.29554,0.000432174,6.15E-07,0.008655497,6.63E-07,0.000243885,2.16E-08,0.294111889,0.500737198,0.404928754,0.067284375,0.115109139,1.541028672,2.328572843,0.501841557,1.23875282,2.260682256,0.195866224,2.569505064,1.959815014,0.808487607,0.510264732,1.506423848,0.125455229,4.325667219,4.231385619,1.929205992,0.678231474,1.788506138
20,1.1,1039.912689,-4.4,0,1.1,9.63E-06,3866.289159,0.000219746,310852.3718,0.584408267,0.630931856,1.312541952,0.093364382,1.90250362,0.273928427,103759.4715,0.000868891,8.30E-07,0.00416748,2.89E-07,0.00028936,5.65E-07,0.247124149,0.355457963,0.232130516,0.043518091,0.125116657,1.309426009,1.793163469,0.761020621,2.152439468,3.223301768,0.208918386,1.119787882,6.009049971,2.367321111,0.820376086,1.387816346,0.125455229,6.51551177,4.213195329,1.912750576,0.256964924,1.336455922
21,1.1,1588.880543,3.3,1.1,0,2.19E-06,3944.645503,0.000792961,292192.5047,0.79930495,0.904771244,1.355115275,0.127932883,0.407709614,4.239284528,12462.20601,0.000369894,9.31E-07,0.010832068,4.91E-08,0.001060923,7.09E-07,0.249592297,0.347018881,0.311147957,0.086554255,0.125168338,0.954937915,2.298207439,0.917372853,1.33305693,2.963901332,0.22339224,0.902847644,4.907380592,2.322940824,1.007759177,1.924021676,0.120350323,0.974385013,5.026941921,2.112234333,0.619901153,2.403616989
22,2.2,1234.91769,4.4,0,0,5.38E-06,3328.792364,0.000736461,306135.3869,0.955274791,0.108936381,1.398762352,0.912667873,1.769415761,4.163318718,21985.18765,0.000400579,4.62E-07,0.000323759,4.87E-07,3.81E-05,5.20E-08,0.401766651,0.248183344,0.423617892,0.068418447,0.125827456,1.732309414,2.214465654,0.767336422,2.060123578,2.57556233,0.208918386,1.732309414,5.762949805,3.238298264,2.286027762,2.751710487,0.123750461,1.928752069,3.877560128,1.819156499,1.345004709,2.052883341
