,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output
0,1.818181818,1334.988058,4.545454545,0.909090909,0.909090909,4.29E-06,3114.746756,0.000130834,245759.0263,0.65895351,0.1167147,1.245588702,0.262486435,0.089007739,3.807725315,4094.312105,0.000725819,2.41E-08,0.007953627,4.12E-07,0.000115109,1.47E-07,0.28028579,0.24826516,0.165369709,0.004115707,2.383358044,0.160888344,6.748785492,1.007908722,0.356467216,0.544363636,4.024700479,0.125291104,10.90909091,3.297947678,0.22163784,0.544363636,2.036750808,0.243477475,10.90909091,1.7097629,0.175489478,0.364655866
1,0.909090909,1262.590114,4.545454545,0.909090909,0,3.54E-06,2684.444877,0.000503181,238656.7538,0.277902848,0.190869714,1.435461651,1.381356845,0.790625649,4.188433122,73194.68279,0.000367031,5.38E-07,0.000315403,8.13E-07,0.000227477,4.47E-07,0.156225077,0.292696818,0.317600329,0.016453231,2.25216262,0.123325965,6.612831826,1.037708154,0.290901588,0.506934387,4.194604692,0.532986502,10.90909091,3.274524284,0.352031543,0.520895673,2.297936931,0.991931486,10.90909091,2.365262928,0.41966377,0.530864384
2,0,1087.925062,1.818181818,0.909090909,0,5.06E-06,2929.675277,0.000207863,252398.2653,0.645277012,0.877068282,0.82020794,0.321495692,0.118394097,2.008028746,50560.94621,0.00031807,8.91E-07,0.006771583,6.62E-07,0.000899163,3.79E-07,0.213863664,0.251584823,0.119792168,0.050148111,2.383218159,0.150422319,6.014013192,0.995270264,0.108442845,0.375054637,4.024700479,0.191593988,10.90909091,3.190062446,0.085140336,0.28197645,2.416827594,0.152091882,10.90909091,1.48653368,0.006921966,0.105001617
3,0.909090909,895.6459134,-2.727272727,0,0,1.31E-07,3226.675733,0.000455036,243625.0902,0.403723694,0.359266591,0.160799039,1.605068562,0.309642176,0.774684917,192409.3701,0.000172825,3.03E-08,0.001087143,5.39E-08,0.000469741,2.47E-07,0.258167213,0.169508876,0.182232763,0.06954509,2.374436896,0.123325965,6.261209996,0.984917329,0.177463341,0.476307765,3.592310322,0.38886673,7.483062842,1.234126575,0.050809888,0.271381872,2.299569163,0.985946674,10.90909091,2.287214192,0.38944166,0.511827549
4,0.909090909,850.3585542,3.636363636,0,0.909090909,6.89E-06,3002.744443,0.000536184,234027.6741,0.165897074,0.317099863,0.12636294,0.889150198,0.106534808,1.625936895,120553.6825,0.000372731,4.65E-07,0.005950365,5.12E-07,0.000337502,4.44E-08,0.25852832,0.386683877,0.283976011,0.052339106,2.374444486,0.123325965,6.165154976,0.963384644,0.152918025,0.462164203,3.332917209,0.369267444,7.649195582,1.229619075,0.055285409,0.2822642,2.301055377,0.981291713,10.90909091,2.251824042,0.276988014,0.445910576
5,0.909090909,1194.959676,0,0.909090909,0.909090909,1.34E-06,2897.331089,0.000279642,256578.8091,0.59083233,0.03117506,1.145153543,0.957334255,1.389812356,4.327330958,5366.267349,0.000560008,2.81E-08,0.004834378,3.62E-08,6.37E-05,4.09E-07,0.291700443,0.27273454,0.454406109,0.060301849,2.375206699,0.570024981,4.577905585,0.784371889,0.063671547,0.25875603,3.300145137,0.389196639,10.90909091,2.565538033,0.030408915,0.153240523,2.302233335,0.993804388,10.90909091,2.563474887,0.356730809,0.514724711
6,0.909090909,1028.47736,0,0,0.909090909,4.53E-06,3010.391795,0.000158171,244626.9956,0.450136904,0.482931097,1.536271469,0.002357621,1.725205192,2.669880518,78210.75907,0.000308444,5.41E-07,0.008631945,5.27E-08,0.000865259,2.74E-08,0.371973168,0.175917887,0.329840968,0.078712171,2.25216262,0.123325965,6.612831826,1.037708154,0.290901588,0.506934387,4.186139305,0.133903868,10.90909091,2.923687988,0.022410431,0.185261463,2.303351978,0.979677404,10.90909091,2.169495038,0.052507778,0.295714833
7,0.909090909,1045.212876,0,0,0,9.21E-07,2629.890303,0.000607283,241458.767,0.0980208,0.652692065,1.227476614,0.538236098,0.28937997,0.541565287,14338.82951,0.000477404,4.34E-08,0.008828827,9.71E-08,0.000436178,1.40E-07,0.35014715,0.101784517,0.235365533,0.084977107,2.100077461,0.569344928,4.508514455,0.780193018,0.043414951,0.223619864,2.986181021,0.399139736,10.90909091,1.941290464,0.037461889,0.190997372,2.294906557,0.991931486,10.90909091,2.161699127,0.358725596,0.533137039
8,0.909090909,1172.95756,0.909090909,0.909090909,0,4.05E-06,3065.824838,0.000388807,239986.6919,0.498535719,0.36588452,1.57597813,0.847314918,1.460944207,1.623586123,157441.56,0.000183922,4.59E-07,0.007009104,2.86E-08,1.16E-05,4.04E-07,0.432755316,0.171521883,0.179694005,0.072165857,2.374436896,0.123325965,6.261209996,0.984917329,0.177463341,0.476307765,3.550448806,0.340674042,10.90909091,4.444608924,0.158054019,0.304797397,2.416827594,0.991931486,10.90909091,2.685257357,0.416536531,0.537565635
9,1.818181818,1353.365006,-3.636363636,0.909090909,0,2.03E-06,2897.83289,0.000883958,260299.908,0.239100079,0.164579788,0.659109361,0.903389478,1.353380661,1.951534561,8678.527149,0.000895257,2.46E-07,0.004422558,6.95E-08,0.000508288,3.36E-07,0.249626321,0.194327212,0.384216156,0.047377408,2.374444486,0.123325965,6.165154976,0.963384644,0.152918025,0.462164203,4.024700479,0.1337429,10.90909091,2.66549456,0.02940902,0.201346495,2.309373301,0.982346719,10.90909091,2.284564179,0.164610266,0.469595759
10,1.818181818,1231.995547,2.727272727,0,0,3.16E-06,3042.696759,0.000222837,236971.043,0.522091734,0.060189444,0.925068856,0.272836763,0.100721948,2.982882172,181274.8653,0.000520526,6.16E-07,0.007376715,3.95E-07,0.000366621,2.48E-07,0.306576561,0.365818367,0.208359753,0.056302676,2.519123959,0.570364908,3.905090205,0.765431847,0.0519058,0.219375575,3.258108841,0.379344598,5.059224052,1.164645233,0.038823855,0.255678456,2.297757165,0.822213787,10.90909091,2.285780421,0.418848946,0.542471865
11,0,1245.395014,-2.727272727,0.909090909,0,6.14E-06,3254.630805,0.000325232,230530.7586,0.846155022,0.387963221,1.35043358,1.728913211,0.989770285,2.726353292,80783.36963,0.000272261,2.45E-07,0.003525807,4.78E-07,0.000667461,8.76E-07,0.364924463,0.437077587,0.186872387,2.89E-05,2.519123959,0.569684988,3.926617141,0.790524331,0.072829977,0.363725242,3.962147413,0.389196639,9.277881302,1.369586244,0.023717368,0.156439798,2.323254378,0.97622195,10.90909091,2.302716742,0.25835794,0.431971951
12,0.909090909,942.6496867,2.727272727,0,0.909090909,3.63E-06,2731.325175,0.000192428,229676.8239,0.324531106,0.120391985,0.207057316,0.00585843,1.359221482,2.139469177,223439.2932,0.000216679,5.39E-07,0.001635414,4.92E-07,0.000119439,3.92E-07,0.117194921,0.119140702,0.259379826,0.069277335,2.383218159,0.150422319,6.014013192,0.995270264,0.108442845,0.375054637,4.184818269,0.138809447,10.90909091,2.33714489,0.114334317,0.374363031,1.203249913,0.11986052,3.810643567,0.519425602,0.026090632,0.147438946
13,1.818181818,1147.234053,3.636363636,0.909090909,0,8.83E-06,3243.685414,3.56E-05,251614.1014,0.026588668,0.348060878,1.263760259,1.550001722,1.629463372,1.333249142,210468.3885,0.000604837,6.47E-08,0.007251223,8.76E-07,0.000831233,4.38E-07,0.153997208,0.398780333,0.104725603,0.087458722,2.374436896,0.123325965,6.261209996,0.984917329,0.177463341,0.476307765,4.188166367,0.1337429,10.90909091,2.878009307,0.020286243,0.169398467,2.289250185,0.997489219,10.90909091,2.310343775,0.458330081,0.535467481
14,1.818181818,824.6157488,0,0.909090909,0,2.35E-06,3248.029121,0.000124684,239933.8769,0.131198139,0.818919166,0.242811616,1.393320598,0.010313291,0.552252047,110710.8709,0.000465677,1.90E-07,0.004398686,8.84E-07,0.000576079,2.60E-09,0.32287219,0.318492846,0.142921291,0.086490013,2.374444486,0.123325965,6.165154976,0.963384644,0.152918025,0.462164203,4.024700479,0.129301887,10.90909091,2.443524453,0.038294435,0.215027799,2.281321853,0.986626396,10.90909091,2.3622404,0.203852362,0.434740581
15,0,1327.13931,0,0.909090909,0.909090909,4.17E-06,2682.946455,0.000534247,240478.2065,0.804697506,0.702189268,1.57989642,0.728009812,1.743330099,2.380353647,171478.1676,0.000574659,2.44E-07,0.00186429,3.49E-07,0.000231857,1.09E-07,0.40988451,0.234900268,0.3472319,0.065873409,2.383358044,0.160888344,6.748785492,1.007908722,0.356467216,0.544363636,4.024700479,0.134064999,10.90909091,2.101144244,0.042721944,0.227832442,0.868437322,0.122577222,4.620142657,0.801425266,0.023399469,0.148651518
16,0,1300.675796,-3.636363636,0,0.909090909,3.22E-06,3140.259752,0.000220085,242103.6646,0.535004407,0.663027768,0.750452221,0.461770411,0.486420042,1.319078654,62174.22456,0.00084652,1.61E-07,0.003245334,7.95E-07,0.000718106,4.25E-07,0.096347816,0.266843141,0.11024628,0.071793628,2.519123959,0.560139367,4.694947638,0.992344956,0.041681705,0.232783391,3.255104924,0.418593215,10.90909091,2.835154462,0.111195642,0.232320768,2.285921584,0.97622195,10.90909091,2.291680197,0.301788531,0.484162458
17,0.909090909,1258.07387,1.818181818,0,0,7.19E-06,3034.186189,0.000636091,259385.9806,0.166539575,0.500786376,0.673241866,0.645058159,0.91900107,1.486058888,76589.97373,0.000121292,1.69E-07,0.007019783,2.01E-07,0.000353014,8.95E-07,0.100234204,0.305760796,0.106600711,0.052477639,2.383218159,0.150422319,6.014013192,0.995270264,0.108442845,0.375054637,4.024700479,0.133903868,10.90909091,2.149189176,0.083703064,0.321530718,0.771048576,0.141655627,4.288422701,0.823299497,0.094238316,0.454951719
